[EXTINCT ][2026-07-26 01:55:13] extinction #7 | ticks: 8003 | max Gen: 1 | avg Ein: 224.6 | avg Eout: 97.0
[EXTINCT ][2026-07-26 01:55:17] extinction #8 | ticks: 10698 | max Gen: 0 | avg Ein: 127.1 | avg Eout: 128.4
[EXTINCT ][2026-07-26 01:55:21] extinction #9 | ticks: 3938 | max Gen: 0 | avg Ein: 356.8 | avg Eout: 29.1
[EXTINCT ][2026-07-26 01:55:25] extinction #10 | ticks: 4758 | max Gen: 1 | avg Ein: 479.0 | avg Eout: 56.8
[EXTINCT ][2026-07-26 02:06:28] extinction #11 | ticks: 134014 | max Gen: 94 | avg Ein: 62.0 | avg Eout: 61.9
[EXTINCT ][2026-07-26 02:06:31] extinction #12 | ticks: 8491 | max Gen: 2 | avg Ein: 404.2 | avg Eout: 76.1
[EXTINCT ][2026-07-26 02:06:35] extinction #13 | ticks: 8679 | max Gen: 1 | avg Ein: 179.4 | avg Eout: 119.8
[EXTINCT ][2026-07-26 02:06:37] extinction #14 | ticks: 1956 | max Gen: 0 | avg Ein: 1133.4 | avg Eout: 202.1
[EXTINCT ][2026-07-26 02:06:41] extinction #15 | ticks: 8596 | max Gen: 1 | avg Ein: 183.9 | avg Eout: 134.9
[EXTINCT ][2026-07-26 02:06:44] extinction #16 | ticks: 4261 | max Gen: 0 | avg Ein: 743.3 | avg Eout: 118.1
[EXTINCT ][2026-07-26 02:06:49] extinction #17 | ticks: 8415 | max Gen: 1 | avg Ein: 353.7 | avg Eout: 60.4
[EXTINCT ][2026-07-26 02:06:54] extinction #18 | ticks: 16385 | max Gen: 1 | avg Ein: 92.7 | avg Eout: 69.0
[EXTINCT ][2026-07-26 02:07:00] extinction #19 | ticks: 13409 | max Gen: 2 | avg Ein: 171.7 | avg Eout: 164.9
[EXTINCT ][2026-07-26 02:07:04] extinction #20 | ticks: 5479 | max Gen: 0 | avg Ein: 266.5 | avg Eout: 59.4
[EXTINCT ][2026-07-26 02:07:09] extinction #21 | ticks: 6009 | max Gen: 2 | avg Ein: 100.5 | avg Eout: 91.1
[EXTINCT ][2026-07-26 02:07:18] extinction #22 | ticks: 13100 | max Gen: 1 | avg Ein: 161.8 | avg Eout: 153.0
[EXTINCT ][2026-07-26 02:07:21] extinction #23 | ticks: 6064 | max Gen: 2 | avg Ein: 169.3 | avg Eout: 159.0
[EXTINCT ][2026-07-26 02:07:25] extinction #24 | ticks: 10806 | max Gen: 2 | avg Ein: 89.7 | avg Eout: 47.8
[EXTINCT ][2026-07-26 02:07:29] extinction #25 | ticks: 8942 | max Gen: 1 | avg Ein: 183.2 | avg Eout: 167.5
[EXTINCT ][2026-07-26 02:07:37] extinction #26 | ticks: 15706 | max Gen: 1 | avg Ein: 184.8 | avg Eout: 165.4
[EXTINCT ][2026-07-26 02:07:44] extinction #27 | ticks: 17716 | max Gen: 2 | avg Ein: 80.3 | avg Eout: 57.3
[EXTINCT ][2026-07-26 02:07:49] extinction #28 | ticks: 6216 | max Gen: 0 | avg Ein: 120.2 | avg Eout: 50.0
[EXTINCT ][2026-07-26 02:07:55] extinction #29 | ticks: 7133 | max Gen: 1 | avg Ein: 238.3 | avg Eout: 202.3
[EXTINCT ][2026-07-26 02:07:58] extinction #30 | ticks: 6671 | max Gen: 2 | avg Ein: 741.3 | avg Eout: 127.1
[EXTINCT ][2026-07-26 02:08:03] extinction #31 | ticks: 11690 | max Gen: 1 | avg Ein: 397.2 | avg Eout: 101.2
[EXTINCT ][2026-07-26 02:08:09] extinction #32 | ticks: 11950 | max Gen: 1 | avg Ein: 160.5 | avg Eout: 138.1
[EXTINCT ][2026-07-26 02:08:15] extinction #33 | ticks: 6075 | max Gen: 0 | avg Ein: 392.0 | avg Eout: 73.3
[EXTINCT ][2026-07-26 02:08:22] extinction #34 | ticks: 17515 | max Gen: 1 | avg Ein: 101.0 | avg Eout: 86.1
[EXTINCT ][2026-07-26 02:08:25] extinction #35 | ticks: 6072 | max Gen: 2 | avg Ein: 175.8 | avg Eout: 56.0
[EXTINCT ][2026-07-26 02:08:31] extinction #36 | ticks: 8147 | max Gen: 3 | avg Ein: 95.0 | avg Eout: 81.6
[EXTINCT ][2026-07-26 02:08:38] extinction #37 | ticks: 12128 | max Gen: 1 | avg Ein: 94.3 | avg Eout: 71.8
[EXTINCT ][2026-07-26 02:08:45] extinction #38 | ticks: 14018 | max Gen: 1 | avg Ein: 230.2 | avg Eout: 203.7
[EXTINCT ][2026-07-26 02:08:49] extinction #39 | ticks: 3199 | max Gen: 1 | avg Ein: 147.4 | avg Eout: 66.8
[EXTINCT ][2026-07-26 02:08:55] extinction #40 | ticks: 11694 | max Gen: 2 | avg Ein: 114.1 | avg Eout: 82.1
[EXTINCT ][2026-07-26 02:09:01] extinction #41 | ticks: 6459 | max Gen: 1 | avg Ein: 920.0 | avg Eout: 150.1
[EXTINCT ][2026-07-26 02:09:07] extinction #42 | ticks: 5972 | max Gen: 1 | avg Ein: 146.2 | avg Eout: 71.8
[EXTINCT ][2026-07-26 02:09:11] extinction #43 | ticks: 5212 | max Gen: 0 | avg Ein: 371.6 | avg Eout: 67.6
[EXTINCT ][2026-07-26 02:09:15] extinction #44 | ticks: 6306 | max Gen: 1 | avg Ein: 286.1 | avg Eout: 51.9
[EXTINCT ][2026-07-26 02:09:22] extinction #45 | ticks: 12607 | max Gen: 5 | avg Ein: 113.8 | avg Eout: 99.7
